United States,12
Norway,11.8
New Zealand,11.7
Canada,11.6
Sweden,11.4
Australia,10.9
Switzerland,10.5
Germany,10.2
Finland,10
Poland,9.8
Denmark,9.7
Group of 7 countries (G7) average,9.69
Israel,9.6
Japan,9.5
High income OECD countries average,9.42
Netherlands,9.4
Ireland,9.4
United Kingdom,9.4
Slovakia,9.3
Belgium,9.3
Cyprus,9.2
Hungary,9.1
Argentina,8.8
Iceland,8.8
Barbados,8.7
Greece,8.7
Panama,8.6
Austria,8.4
Fiji,8.3
Philippines,8.2
France,7.9
Trinidad and Tobago,7.8
Peru,7.6
Uruguay,7.6
Chile,7.5
Spain,7.3
Italy,7.2
Mexico,7.2
Slovenia,7.1
Kuwait,7.1
Singapore,7
Jordan,6.9
Sri Lanka,6.9
Malaysia,6.8
Venezuela,6.6
Thailand,6.5
Ecuador,6.4
China,6.4
Former Spanish colonies average,6.37
Botswana,6.3
Paraguay,6.2
Guyana,6.2
Bahrain,6.1
South Africa,6.1
Swaziland,6
Mauritius,6
Costa Rica,6
Portugal,5.9
Syria,5.8
Bolivia,5.6
Zambia,5.5
Zimbabwe,5.4
Algeria,5.4
Turkey,5.3
Colombia,5.3
Jamaica,5.3
El Salvador,5.2
India,5.1
Indonesia,5
Tunisia,5
Dominican Republic,4.9
Brazil,4.9
Honduras,4.8
Nicaragua,4.6
Lesotho,4.2
Kenya,4.2
Iraq,4
Ghana,3.9
Pakistan,3.9
Cameroon,3.5
Guatemala,3.5
Uganda,3.5
South Asia average,3.33
Togo,3.3
Malawi,3.2
Papua New Guinea,2.9
Haiti,2.8
Burma,2.8
Tanzania,2.7
Bangladesh,2.6
Rwanda,2.6
Senegal,2.6
Liberia,2.5
Central African Republic,2.5
Sierra Leone,2.4
Nepal,2.4
The Gambia,2.3
Benin,2.3
Sudan,2.1
Afghanistan,1.7
Mozambique,1.1
Niger,1
Mali,0.9
Guinea-Bissau,0.8
